Condition,Doctor
 Arrhythmia  Cardiology 
 Arterial Thrombosis  Cardiology 
 Arthritis  Rheumatology 
 Asthma  Pulmonary Medicine 
 Atherosclerosis  Cardiology 
 Autism Spectrum Disorder  Neurodevelopmental Pediatrics 
 Autoimmune Disease  Rheumatology 
 Back Pain  Orthopedics 
 Bacteremia  Infectious Disease 
 Bell's Palsy  Neurology 
 Benign Prostatic Hyperplasia (BPH)  Urology 
 Bipolar Disorder  Psychiatry 
 Borderline Personality Disorder  Psychiatry 
 Bronchiectasis  Pulmonary Medicine 
 Bronchitis  Pulmonary Medicine 
 Brucellosis  Infectious Disease 
 Bulimia Nervosa  Psychiatry 
 Bursitis  Orthopedics 
 Carpal Tunnel Syndrome  Orthopedics 
 Cataracts  Ophthalmology 
 Celiac Disease  Gastroenterology 
 Cerebral Palsy  Neurodevelopmental Pediatrics 
 Charcot-Marie-Tooth Disease  Neurology 
 Chlamydial Infection  Infectious Disease 
 Chronic Fatigue Syndrome  Rheumatology 
 Chronic Kidney Disease (CKD)  Nephrology 
 Chronic Obstructive Pulmonary Disease (COPD)  Pulmonary Medicine 
 Cirrhosis  Gastroenterology 
 Colitis  Gastroenterology 
 Congenital Heart Disease  Pediatric Cardiology 
 Conjunctivitis (Pink Eye)  Ophthalmology 
 Constipation  Gastroenterology 
 Crohn's Disease  Gastroenterology 
 Cystic Fibrosis  Pulmonary Medicine 
 Depression  Psychiatry 
 Diabetes  Endocrinology 
 Diverticulitis  Gastroenterology 
 Eczema  Dermatology 
 Edema  Nephrology 
 Emphysema  Pulmonary Medicine 
 Encephalitis  Neurology 
 Endometriosis  Gynecology 
 Epilepsy  Neurology 
 Erectile Dysfunction  Urology 
 Fibromyalgia  Rheumatology 
 Glaucoma  Ophthalmology 
 Gout  Rheumatology 
 Graves' Disease  Endocrinology 
 Head and Neck Cancer  Oncology 
 Headache  Neurology 
 Heart Failure  Cardiology 
 Hepatitis  Gastroenterology 
 Herniated Disc  Orthopedics 
 Herpes  Infectious Disease 
 HIV/AIDS  Infectious Disease 
 Huntington's Disease  Neurology 
 Hypoglycemia  Endocrinology 
 Hypothyroidism  Endocrinology 
 Irritable Bowel Syndrome (IBS)  Gastroenterology 
 Kidney Stones  Nephrology 
 Knee Pain  Orthopedics 
 Leukemia  Hematology/Oncology 
 Lupus  Rheumatology 
 Lyme Disease  Infectious Disease 
 Macular Degeneration  Ophthalmology 
 Malaria  Infectious Disease 
 Melanoma  Oncology 
 Migraine  Neurology 
 Multiple Myeloma  Hematology/Oncology 
 Multiple Sclerosis (MS)  Neurology 
 Muscular Dystrophy  Neurology 
 Myocardial Infarction (Heart Attack)  Cardiology 
 Myocarditis  Cardiology 
 Obesity  Endocrinology 
 Obsessive-Compulsive Disorder (OCD)  Psychiatry 
 Osteoarthritis  Rheumatology 
 Osteoporosis  Orthopedics 
 Ovarian Cancer  Gynecologic Oncology 
 Pancreatitis  Gastroenterology 
 Parkinson's Disease  Neurology 
 Pneumonia  Pulmonary Medicine 
 Post-Traumatic Stress Disorder (PTSD)  Psychiatry 
 Prostate Cancer  Urology 
 Psoriasis  Dermatology 
 Pulmonary Embolism (PE)  Pulmonary Medicine 
 Rheumatoid Arthritis (RA)  Rheumatology 
 Sciatica  Orthopedics 
 Sickle Cell Disease  Hematology 
 Sinusitis  Pulmonary Medicine 
 Skin Cancer  Dermatology 
 Sleep Apnea  Pulmonary Medicine
